,Unnamed: 0,year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,Unnamed: 0,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
0,0,2011,A,"Agriculture, Forestry and Fishing",a_0,Activity unit,46134,COUNT,0.0,2007.03,Non-corporate business enterprises,121.0,Closing balance total assets,LE00000,A000000,345973
1,1,2011,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0,COUNT,1.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,99770
2,2,2011,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,279,DOLLARS(millions),2.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
3,3,2011,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",8187,DOLLARS(millions),3.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,14773
4,4,2011,A,"Agriculture, Forestry and Fishing",a_0,Total income,8866,DOLLARS(millions),4.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance debt securities,LE00000,AFA0300,1267
5,5,2011,A,"Agriculture, Forestry and Fishing",a_0,Total expenditure,7618,DOLLARS(millions),5.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance loans,LE00000,AFA0400,21229
6,6,2011,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,770,DOLLARS(millions),6.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,58890
7,7,2011,A,"Agriculture, Forestry and Fishing",a_0,Total assets,55700,DOLLARS(millions),7.0,2007.03,Non-corporate business enterprises,121.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,285
8,8,2011,A,"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets,32155,DOLLARS(millions),8.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
9,9,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Activity unit,21777,COUNT,9.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3326
10,10,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees,38136,COUNT,10.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,345973
11,11,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid,1435,DOLLARS(millions),11.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
12,12,2011,A,"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies",13359,DOLLARS(millions),12.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
13,13,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total income,13771,DOLLARS(millions),13.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,4613
14,14,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total expenditure,12316,DOLLARS(millions),14.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance loans,LE00000,AFL0400,62585
15,15,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1247,DOLLARS(millions),15.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,270629
16,16,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,52666,DOLLARS(millions),16.0,2007.03,Non-corporate business enterprises,121.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
17,17,2011,A,"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets,31235,DOLLARS(millions),17.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
18,18,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,1965,COUNT,18.0,2007.03,Non-corporate business enterprises,121.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,8146
19,19,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees,13848,COUNT,19.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,91764
20,20,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,467,DOLLARS(millions),20.0,2007.03,Non-corporate business enterprises,121.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,154439
21,21,2011,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",3060,DOLLARS(millions),21.0,2007.03,Non-corporate business enterprises,121.0,Closing balance net worth,LE00000,B900000,0
22,22,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,3114,DOLLARS(millions),22.0,2007.03,Non-corporate business enterprises,121.0,Closing balance total liabilities and net worth,LE00000,L000000,345973
23,23,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,2895,DOLLARS(millions),23.0,2007.03,Corporate business enterprises,141.0,Closing balance total assets,LE00000,A000000,567352
24,24,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223,DOLLARS(millions),24.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,194836
25,25,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,9323,DOLLARS(millions),25.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
26,26,2011,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,5482,DOLLARS(millions),26.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance currency and deposits,LE00000,AFA0200,21420
27,27,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1140,COUNT,27.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance debt securities,LE00000,AFA0300,1915
28,28,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,14850,COUNT,28.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance loans,LE00000,AFA0400,33187
29,29,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,477,DOLLARS(millions),29.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,80739
30,30,2011,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",2396,DOLLARS(millions),30.0,2007.03,Corporate business enterprises,141.0,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,1036
31,31,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,2438,DOLLARS(millions),31.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1869
32,32,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,2344,DOLLARS(millions),32.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,54670
33,33,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126,DOLLARS(millions),33.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,583116
34,34,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,6524,DOLLARS(millions),34.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
35,35,2011,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,3649,DOLLARS(millions),35.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
36,36,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,480,COUNT,36.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance debt securities,LE00000,AFL0300,14306
37,37,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,13983,COUNT,37.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance loans,LE00000,AFL0400,170960
38,38,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,410,DOLLARS(millions),38.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,347521
39,39,2011,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",1806,DOLLARS(millions),39.0,2007.03,Corporate business enterprises,141.0,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
40,40,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,1885,DOLLARS(millions),40.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,2031
41,41,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,1773,DOLLARS(millions),41.0,2007.03,Corporate business enterprises,141.0,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,48298
42,42,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80,DOLLARS(millions),42.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,209773
43,43,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,3984,DOLLARS(millions),43.0,2007.03,Corporate business enterprises,141.0,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,162744
44,44,2011,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,1676,DOLLARS(millions),44.0,2007.03,Corporate business enterprises,141.0,Closing balance net worth,LE00000,B900000,-15763
